company_id,company_name,industry,company_size,hq_city
136,"Lawson, Morris and Ramos",healthcare,enterprise,Austin
137,"Lewis, Kennedy and Santana",fintech,enterprise,Boston
138,"Jackson, Miller and Robertson",software,enterprise,Seattle
139,"Harvey, Davis and Crane",healthcare,enterprise,Austin
140,Chambers and Sons,logistics,growth,Denver
141,Hernandez Inc,retail,enterprise,Denver
142,Riggs PLC,healthcare,startup,Denver
143,Gibson Ltd,healthcare,growth,Boston
144,"Lee, Horton and Snyder",logistics,growth,Austin
145,Hernandez Ltd,retail,enterprise,Chicago
146,Stafford Inc,retail,growth,Chicago
147,Robinson-Brock,software,growth,Chicago
148,"Holmes, Williams and Wright",healthcare,growth,Boston
149,Bryant Group,retail,growth,Boston
150,"Schmidt, Hansen and Stewart",software,startup,Austin
151,Salazar-Ball,retail,growth,Atlanta
152,"Simmons, Meadows and Griffin",healthcare,growth,Chicago
153,Manning Group,retail,startup,Chicago
154,Green-Wright,healthcare,growth,Chicago
155,"Ramirez, Strickland and Washington",logistics,growth,Chicago
156,Hill Inc,fintech,growth,Denver
157,"Mitchell, Nelson and Flores",software,growth,Boston
158,"Miller, Hernandez and Reyes",logistics,enterprise,Atlanta
159,Mccarthy Inc,logistics,growth,Seattle
160,Russell-Daniels,fintech,enterprise,Denver
161,Brown-Wall,retail,enterprise,Austin
162,Stein-Silva,fintech,growth,Austin
163,"Smith, Gilmore and Johnston",logistics,growth,Chicago
164,Smith-Bell,logistics,growth,Chicago
165,Castaneda-Ashley,logistics,enterprise,Boston
166,Medina-Navarro,retail,growth,Boston
167,"Hurst, Freeman and Nelson",healthcare,enterprise,Boston
168,Johnson-Rogers,software,growth,Atlanta
169,"Yates, Ramsey and Pittman",healthcare,growth,Atlanta
170,Hooper PLC,software,growth,Atlanta
171,Meadows PLC,software,enterprise,Denver
172,"Alvarado, Miller and Patterson",software,startup,Seattle
173,White-Green,fintech,enterprise,Seattle
174,Lewis-Murphy,fintech,enterprise,Seattle
175,Ramirez-Bean,fintech,startup,Atlanta
176,King-Miller,logistics,growth,Austin
177,Curry Inc,fintech,startup,Seattle
178,Walker-Jones,software,enterprise,Denver
179,"Williams, Johnson and Wright",retail,startup,Seattle
180,Howell and Sons,logistics,enterprise,Atlanta
181,Wells Inc,retail,startup,Boston
182,"Gould, Marshall and Scott",software,enterprise,Denver
183,Jackson-Lawson,logistics,enterprise,Boston
184,"Higgins, Strickland and Martin",fintech,growth,Boston
185,Rodriguez-Johnson,logistics,enterprise,Chicago
186,Johnston-Odonnell,logistics,enterprise,Denver
187,Sanders-Espinoza,software,enterprise,Atlanta
188,Vargas Ltd,healthcare,growth,Seattle
189,Garcia LLC,healthcare,growth,Seattle
190,"Burke, Martinez and Riggs",healthcare,startup,Boston
191,Reed Group,fintech,growth,Denver
192,"Wood, Hunter and Peterson",fintech,startup,Atlanta
193,Short-Garcia,fintech,growth,Denver
194,Reid-Poole,healthcare,growth,Boston
195,"Hernandez, Thompson and Boyd",retail,growth,Chicago
196,"Nelson, Morton and Medina",software,growth,Atlanta
197,Marshall-Petersen,healthcare,enterprise,Austin
198,"Adams, Christian and Rivas",software,enterprise,Boston
199,Ramirez Group,healthcare,growth,Denver
200,Christensen PLC,retail,growth,Denver
201,"Barnett, Rogers and Snyder",healthcare,enterprise,Atlanta
202,White-Lewis,retail,startup,Denver
203,Peterson-Beard,logistics,startup,Boston
204,"Beard, Peters and Black",fintech,startup,Atlanta
205,Miller Ltd,logistics,growth,Atlanta
206,Freeman-Chang,healthcare,growth,Austin
207,"Alvarez, Joseph and West",fintech,enterprise,Austin
208,Davis and Sons,retail,enterprise,Denver
209,Holt-Torres,healthcare,growth,Boston
210,"Wood, Tran and Cooper",fintech,enterprise,Boston
211,"Pierce, Bell and Chavez",healthcare,enterprise,Atlanta
212,King-Martinez,fintech,growth,Atlanta
213,Stewart Ltd,fintech,growth,Denver
214,"Tapia, Vaughn and Lee",logistics,growth,Chicago
215,"Washington, Hardy and Bray",fintech,startup,Austin
216,"Carlson, Hooper and Wall",healthcare,startup,Denver
217,Perez-White,software,enterprise,Chicago
218,Erickson and Sons,software,growth,Chicago
219,Williams-Brown,logistics,growth,Chicago
220,Terry-Martinez,retail,enterprise,Austin
221,Garcia-Smith,software,growth,Atlanta
222,Harrison-Alexander,logistics,enterprise,Boston
223,Sheppard LLC,fintech,enterprise,Seattle
224,Wilson-Jones,healthcare,growth,Denver
225,Jones-Soto,fintech,growth,Denver
226,Hernandez PLC,healthcare,enterprise,Chicago
227,Miller-Wright,retail,enterprise,Austin
228,"Duran, Obrien and Gibbs",logistics,enterprise,Atlanta
229,Rowe Group,logistics,startup,Atlanta
230,Kerr-Evans,software,enterprise,Austin
231,"Branch, Torres and Oliver",logistics,growth,Denver
232,"Choi, Garcia and Farmer",retail,startup,Chicago
233,"Clark, Guerrero and Moore",software,growth,Chicago
234,Arnold and Sons,fintech,enterprise,Seattle
235,Ortiz Ltd,logistics,startup,Atlanta
236,"Harrison, Johnson and Roberts",fintech,growth,Atlanta
237,Warner-Gibson,fintech,enterprise,Seattle
238,"Hall, Baker and Moody",logistics,growth,Boston
239,"Guerrero, Peck and Coleman",healthcare,growth,Seattle
240,"Walker, Hernandez and Baker",fintech,growth,Atlanta
241,Jones and Sons,software,growth,Boston
242,Larson-Holloway,logistics,enterprise,Denver
243,Gonzales-Harrison,software,enterprise,Boston
244,Lyons-Bender,fintech,startup,Seattle
245,"Fernandez, Kim and George",fintech,enterprise,Atlanta
246,Navarro-Munoz,software,enterprise,Boston
247,Davis Ltd,fintech,growth,Atlanta
248,"Matthews, Smith and Hubbard",logistics,enterprise,Seattle
249,Johnston-Hines,fintech,startup,Chicago
250,Ruiz Ltd,software,enterprise,Boston
251,Moon-White,software,growth,Atlanta
252,"Graham, Olsen and Costa",logistics,growth,Seattle
253,Bailey-Cook,software,startup,Denver
254,"Garcia, Martin and Jenkins",healthcare,enterprise,Boston
255,Roberts-Landry,fintech,startup,Austin
256,"Johnson, Miller and King",software,growth,Austin
257,Cordova Group,fintech,startup,Atlanta
258,"Bryan, Smith and Booth",software,enterprise,Seattle
259,Gutierrez-Lopez,software,startup,Seattle
260,Dean-Jimenez,logistics,enterprise,Denver
261,Wolf-Harris,fintech,growth,Atlanta
262,"Anderson, Roberts and Gilmore",software,startup,Atlanta
263,Martinez-Dudley,healthcare,startup,Boston
264,"Lloyd, Mckinney and Collins",retail,startup,Atlanta
265,Tran Inc,retail,growth,Denver
266,Gay Inc,logistics,enterprise,Boston
267,Valentine-Holland,logistics,startup,Austin
268,Jimenez Ltd,healthcare,enterprise,Boston
269,Hicks-Hill,fintech,startup,Austin
270,Baird-Sanchez,logistics,enterprise,Chicago
271,"Thomas, Lee and Greene",healthcare,enterprise,Seattle
272,"Suarez, Shields and Hill",software,enterprise,Seattle
273,Morgan-French,software,enterprise,Boston
274,Hoover-Campbell,retail,enterprise,Seattle
275,Monroe-Carpenter,logistics,startup,Atlanta
276,"Burns, Hernandez and Ryan",logistics,startup,Denver
277,Cook-Hines,logistics,startup,Austin
278,Gibson-Morris,fintech,growth,Austin
279,Pollard and Sons,software,enterprise,Chicago
280,"Reyes, Chase and Jenkins",software,growth,Austin
281,Garner-Thornton,healthcare,enterprise,Atlanta
282,Hughes-Alvarado,logistics,startup,Seattle
283,"Pollard, Simpson and Johnson",fintech,enterprise,Boston
284,"Sanford, Rivera and Garcia",logistics,startup,Denver
285,Garcia-Lozano,logistics,growth,Boston
286,Bowen Group,retail,enterprise,Boston
287,"Booker, Jones and Harrington",software,enterprise,Boston
288,Morgan-Schwartz,logistics,growth,Denver
289,"Miller, Murphy and Craig",logistics,startup,Chicago
290,"James, Stewart and Higgins",logistics,growth,Boston
291,Brennan-Johnson,retail,startup,Chicago
292,Young Ltd,healthcare,enterprise,Denver
293,Bright-Francis,retail,enterprise,Austin
294,Good-Hodges,healthcare,startup,Seattle
295,"Brennan, Wallace and Benson",logistics,startup,Atlanta
296,Williams Inc,logistics,startup,Austin
297,Howard-Jordan,retail,enterprise,Chicago
298,Schmidt PLC,logistics,growth,Atlanta
299,"Sparks, Jackson and Miller",healthcare,enterprise,Atlanta
300,Harvey-Allen,software,growth,Seattle
301,"Thomas, Murray and King",healthcare,growth,Chicago
302,Estrada-Nolan,retail,startup,Boston
303,Santana-Byrd,software,enterprise,Denver
304,Jones LLC,retail,growth,Seattle
305,"Evans, Hayden and Vaughn",logistics,growth,Chicago
306,Bruce-Gonzalez,software,enterprise,Austin
307,Castaneda-Rodriguez,healthcare,growth,Austin
308,Armstrong-Andrews,logistics,enterprise,Denver
309,"Phillips, Spence and Barrett",healthcare,startup,Boston
310,Smith-Grimes,software,growth,Austin
311,"Beltran, Lozano and Mcgee",fintech,growth,Denver
312,Parsons-Hall,fintech,growth,Austin
313,Robinson-Lee,software,startup,Boston
314,Byrd-Le,healthcare,startup,Seattle
315,"Becker, Taylor and Davis",healthcare,growth,Seattle
316,"Lucas, Parker and Alexander",fintech,growth,Seattle
317,"Diaz, Anderson and Browning",fintech,growth,Atlanta
318,Burgess-Thompson,fintech,growth,Seattle
319,Buchanan LLC,retail,growth,Austin
320,"Shaw, Nelson and Martin",fintech,growth,Boston
